lead_time,avg_price_per_room,no_of_special_requests,arrival_date,arrival_month,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
4.997212273764115,4.8721392168423305,1.0986122886681098,25,9,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,1
4.983606621708336,4.403665809777363,0.0,18,5,1.3862943611198906,1.6094379124341003,0.0,7.610357618312838,2,1
3.9512437185814275,4.919250732294404,0.6931471805599453,26,7,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,2,1
2.70805020110221,4.364371699435161,0.0,19,1,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,1,1
4.2626798770413155,4.566429357671661,0.0,23,4,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,0
3.4965075614664802,4.868687631440574,0.0,27,6,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.610357618312838,2,1
4.04305126783455,4.373238128640803,0.0,9,3,1.6094379124341003,1.0986122886681098,0.0,7.610357618312838,2,1
4.442651256490317,4.514150787600923,0.6931471805599453,27,3,1.6094379124341003,0.6931471805599453,1.0986122886681098,7.610357618312838,2,0
4.189654742026425,4.544145484150317,1.0986122886681098,29,10,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.609862200913554,2,1
3.784189633918261,4.9783186926197125,0.0,29,8,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.610357618312838,3,1
1.3862943611198906,4.941642422609304,0.0,25,3,1.6094379124341003,1.0986122886681098,0.0,7.610357618312838,2,1
4.174387269895637,5.0132984115157395,0.6931471805599453,24,9,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,0
4.382026634673881,4.700480365792417,0.0,24,6,1.3862943611198906,1.0986122886681098,0.0,7.610357618312838,2,1
5.198497031265826,4.739701078945697,0.0,10,10,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.610357618312838,2,0
5.365976015021851,4.780383203544751,0.6931471805599453,31,8,1.6094379124341003,1.6094379124341003,0.0,7.610357618312838,2,0
5.393627546352362,4.984291318756654,0.6931471805599453,13,9,1.6094379124341003,1.0986122886681098,0.0,7.610357618312838,2,0
2.70805020110221,4.51085950651685,0.6931471805599453,24,8,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.609862200913554,2,1
4.663439094112067,4.892602227184663,1.0986122886681098,6,10,1.6094379124341003,1.791759469228055,1.0986122886681098,7.610357618312838,2,1
0.0,4.59511985013459,0.0,8,8,1.6094379124341003,0.6931471805599453,1.0986122886681098,7.609862200913554,2,1
5.117993812416755,4.618086411254637,0.6931471805599453,19,6,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,0
0.6931471805599453,4.68213122712422,0.0,19,4,1.3862943611198906,1.0986122886681098,0.0,7.610357618312838,1,1
3.4011973816621555,4.812184355372417,1.0986122886681098,30,8,1.6094379124341003,0.6931471805599453,0.0,7.610357618312838,2,1
3.7612001156935624,4.189654742026425,0.0,15,9,1.0986122886681098,1.3862943611198906,0.0,7.609862200913554,1,1
4.564348191467836,4.301358731606427,0.0,5,4,1.6094379124341003,1.0986122886681098,0.0,7.610357618312838,1,0
4.30406509320417,4.384523514872469,1.0986122886681098,12,11,1.6094379124341003,0.6931471805599453,0.0,7.610357618312838,2,1
5.204006687076795,4.729156165769083,0.6931471805599453,4,8,1.6094379124341003,1.791759469228055,1.0986122886681098,7.610357618312838,2,0
5.303304908059076,4.502583597212991,0.6931471805599453,2,10,1.6094379124341003,1.0986122886681098,0.6931471805599453,7.609862200913554,2,1
4.477336814478207,4.350277936359301,1.0986122886681098,9,8,1.6094379124341003,0.6931471805599453,1.0986122886681098,7.609862200913554,2,1
4.624972813284271,4.666265285347902,0.6931471805599453,25,7,1.6094379124341003,0.6931471805599453,0.6931471805599453,7.610357618312838,2,0
1.0986122886681098,5.556828061699537,0.6931471805599453,2,9,1.6094379124341003,0.6931471805599453,0.0,7.610357618312838,2,1
4.90527477843843,5.297817241506355,0.0,26,5,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,2,0
5.081404364984463,5.3067814449601665,1.0986122886681098,13,10,1.6094379124341003,1.3862943611198906,1.0986122886681098,7.610357618312838,2,0
5.288267030694535,4.713396591058963,0.0,29,12,1.6094379124341003,1.6094379124341003,0.0,7.609862200913554,2,1
4.127134385045092,4.403665809777363,0.6931471805599453,24,10,1.6094379124341003,0.6931471805599453,0.0,7.609862200913554,1,1
5.327876168789581,4.851248708584797,1.0986122886681098,5,9,1.6094379124341003,1.0986122886681098,0.6931471805599453,7.610357618312838,2,0
5.2832037287379885,4.667205576907544,0.0,12,9,1.6094379124341003,1.791759469228055,1.0986122886681098,7.610357618312838,3,0
5.0106352940962555,4.666265285347902,0.0,20,8,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,0
3.871201010907891,4.5591262474866845,1.0986122886681098,20,10,1.6094379124341003,1.0986122886681098,0.0,7.609862200913554,2,1
3.9512437185814275,4.763028270603671,0.0,28,4,1.6094379124341003,1.3862943611198906,1.0986122886681098,7.610357618312838,2,0
5.111987788356544,4.454347296253507,0.6931471805599453,18,7,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.610357618312838,2,0
4.852030263919617,4.44323931884187,0.6931471805599453,27,12,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,1,0
4.290459441148391,4.683056724645162,0.0,6,7,1.6094379124341003,0.6931471805599453,0.0,7.610357618312838,2,0
4.127134385045092,4.944068049824143,0.6931471805599453,18,7,1.3862943611198906,2.1972245773362196,1.3862943611198906,7.610357618312838,2,0
4.454347296253507,4.493120682179469,0.0,24,11,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.610357618312838,2,0
3.713572066704308,4.36373536470163,0.6931471805599453,14,1,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,2,1
1.791759469228055,4.76575725063604,0.0,26,6,1.6094379124341003,1.3862943611198906,1.0986122886681098,7.610357618312838,2,0
3.9512437185814275,4.951592753462473,0.0,13,5,1.6094379124341003,1.0986122886681098,1.0986122886681098,7.610357618312838,2,0
4.110873864173311,4.919250732294404,0.0,27,9,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,2,0
4.68213122712422,4.583946549536464,0.0,20,8,1.3862943611198906,0.6931471805599453,1.0986122886681098,7.610357618312838,3,0
2.302585092994046,5.187385805840755,1.0986122886681098,30,10,1.6094379124341003,0.0,1.0986122886681098,7.610357618312838,2,1
2.772588722239781,4.705467907303455,0.6931471805599453,17,8,1.6094379124341003,0.6931471805599453,0.0,7.610357618312838,2,1
5.25227342804663,4.866918876413368,0.0,22,8,1.6094379124341003,1.9459101490553132,1.3862943611198906,7.610357618312838,2,0
2.772588722239781,4.686750172980514,0.0,10,12,1.6094379124341003,0.6931471805599453,0.6931471805599453,7.610357618312838,2,1
3.970291913552122,5.0132984115157395,0.6931471805599453,31,7,1.6094379124341003,0.0,1.0986122886681098,7.610357618312838,2,1
3.6888794541139363,4.683056724645162,0.0,1,7,1.6094379124341003,1.0986122886681098,0.0,7.610357618312838,2,1
4.762173934797756,4.502583597212991,0.0,27,10,1.6094379124341003,1.3862943611198906,0.0,7.609862200913554,2,1
3.6635616461296463,4.5591262474866845,0.6931471805599453,6,10,1.6094379124341003,1.3862943611198906,0.0,7.609862200913554,2,1
5.241747015059643,4.460144413937834,1.0986122886681098,27,10,1.6094379124341003,1.3862943611198906,0.0,7.610357618312838,2,0
